listing_id,listing_name,listing_url,borough,neighborhood,room_type,property_type,host_tier,market_segment,actual_price_usd,predicted_fair_price_usd,predicted_price_q10,predicted_price_q90,interval_width_pct,direction_confidence,confidence_score,confidence_level,residual_usd,residual_pct_of_fair,pricing_signal
896535,Gorgeous Studio on Manhattan's UWS,https://www.airbnb.com/rooms/896535,Manhattan,Upper West Side,Entire home/apt,Entire rental unit,Individual,monthly,146.42,150.25,127.87,204.91,0.5247,Uncertain (within plausible range),79.6,Medium,-3.83,-0.0255,Within 10% of model benchmark
1080543,Sunny Sunset Park Artist Loft,https://www.airbnb.com/rooms/1080543,Brooklyn,Sunset Park,Entire home/apt,Entire loft,Individual,monthly,134.07,146.19,83.12,207.91,0.8504,Uncertain (within plausible range),21.5,Low,-12.12,-0.0829,Within 10% of model benchmark
825129,Room w/pvt bathroom on Central Park,https://www.airbnb.com/rooms/825129,Manhattan,Upper West Side,Private room,Private room in rental unit,Individual,monthly,79.18,75.36,51.79,111.39,0.7964,Uncertain (within plausible range),28.0,Medium,3.82,0.0506,Within 10% of model benchmark
826685,Dreamy Private Room in  Super Cool Bedstuy Apt.,https://www.airbnb.com/rooms/826685,Brooklyn,Bedford-Stuyvesant,Private room,Private room in rental unit,Individual,monthly,51.03,74.26,49.92,109.52,0.8121,Uncertain (within plausible range),25.9,Medium,-23.23,-0.3128,Below model benchmark (review price)
828616,Brooklyn Livin',https://www.airbnb.com/rooms/828616,Brooklyn,Crown Heights,Entire home/apt,Entire rental unit,Small-Multi,monthly,87.31,103.57,87.69,144.87,0.5582,Confident: raise price,72.8,Medium,-16.26,-0.157,Below model benchmark (review price)
921500,Beautiful Brooklyn Brownstone,https://www.airbnb.com/rooms/921500,Brooklyn,Crown Heights,Entire home/apt,Entire condo,Individual,monthly,175.17,142.26,109.29,183.04,0.5247,Uncertain (within plausible range),79.7,Medium,32.91,0.2313,Above model benchmark (review price)
1087215,Stunning Designer Loft in the heart of Chelsea,https://www.airbnb.com/rooms/1087215,Manhattan,Chelsea,Entire home/apt,Entire loft,Individual,monthly,310.87,343.76,125.72,371.79,0.7194,Uncertain (within plausible range),39.7,Medium,-32.89,-0.0957,Within 10% of model benchmark
1100421,"Cobble Hill, sunny large 1BR apt",https://www.airbnb.com/rooms/1100421,Brooklyn,Cobble Hill,Entire home/apt,Entire condo,Individual,monthly,196.53,171.48,95.66,322.85,1.3083,Uncertain (within plausible range),2.1,Low,25.05,0.1461,Above model benchmark (review price)
1101035,Sunny 1 or 2 BR apt in Boerum Hill,https://www.airbnb.com/rooms/1101035,Brooklyn,Boerum Hill,Entire home/apt,Entire rental unit,Individual,monthly,202.43,180.52,78.31,225.13,0.8112,Uncertain (within plausible range),26.0,Medium,21.91,0.1214,Above model benchmark (review price)
1101224,THE PUTNAM-3 Bdrm w/Outdoor Zen space/washer&dryer,https://www.airbnb.com/rooms/1101224,Brooklyn,Bedford-Stuyvesant,Entire home/apt,Entire rental unit,Individual,monthly,134.22,139.55,108.37,180.97,0.5265,Uncertain (within plausible range),79.2,Medium,-5.33,-0.0382,Within 10% of model benchmark
927408,St James Pl Landmark Home 1 block to PRATT/Gtrain,https://www.airbnb.com/rooms/927408,Brooklyn,Clinton Hill,Private room,Private room in townhouse,Small-Multi,monthly,73.8,78.0,54.03,98.35,0.5793,Uncertain (within plausible range),68.2,Medium,-4.2,-0.0538,Within 10% of model benchmark
