listing_id,listing_name,listing_url,borough,neighborhood,room_type,property_type,max_guests,host_tier,segment,market_segment,cv_fold,actual_price_usd,predicted_fair_price_usd,residual_usd,residual_pct_of_fair,pricing_signal
1305095686123663481,17John: Presidential King Suite with Sofa Bed,https://www.airbnb.com/rooms/1305095686123663481,Manhattan,Financial District,Entire home/apt,Entire rental unit,4,Enterprise,Manhattan | Entire home/apt | medium,short_stay,5,533.0,537.96,-4.96,-0.0092,Below fair value (underpriced)
1305096322826956646,17John: Classic King Studio Apartment,https://www.airbnb.com/rooms/1305096322826956646,Manhattan,Financial District,Entire home/apt,Entire rental unit,2,Enterprise,Manhattan | Entire home/apt | small,short_stay,5,296.0,444.22,-148.22,-0.3337,Below fair value (underpriced)
1305294589180823626,Entire cozy 1 Bedroom apartment,https://www.airbnb.com/rooms/1305294589180823626,Manhattan,Chinatown,Entire home/apt,Entire rental unit,3,Mid-Multi,Manhattan | Entire home/apt | medium,short_stay,2,513.67,313.34,200.33,0.6393,Above fair value (overpriced)
1292806829994884564,Brownstone - 1BR |Ideal for Visiting Parents!| W/D,https://www.airbnb.com/rooms/1292806829994884564,Brooklyn,Crown Heights,Private room,Private room in guest suite,2,Individual,Brooklyn | Private room | small,short_stay,1,367.0,301.0,66.0,0.2193,Above fair value (overpriced)
1307658363754176454,Private Bedroom in Downtown Flushing,https://www.airbnb.com/rooms/1307658363754176454,Queens,Flushing,Private room,Private room in townhouse,1,Small-Multi,Queens | Private room | small,short_stay,1,116.0,152.94,-36.94,-0.2415,Below fair value (underpriced)
1300037681233437424,"8 Bedroom 5 Baths, no Steps, Outdoors, by train!",https://www.airbnb.com/rooms/1300037681233437424,Brooklyn,Crown Heights,Entire home/apt,Entire home,16,Individual,Brooklyn | Entire home/apt | large,short_stay,1,1059.01,4950.65,-3891.64,-0.7861,Below fair value (underpriced)
1300820745713362015,Comfy Room Near JFK Airport – 10 Min Ride,https://www.airbnb.com/rooms/1300820745713362015,Queens,Jamaica,Hotel room,Room in hotel,2,Small-Multi,Queens | Hotel room | small,short_stay,4,158.0,163.68,-5.68,-0.0347,Below fair value (underpriced)
1300823553800804690,Easy NYC Access from Budget-friendly Room,https://www.airbnb.com/rooms/1300823553800804690,Queens,Jamaica,Hotel room,Room in hotel,2,Small-Multi,Queens | Hotel room | small,short_stay,1,171.0,183.79,-12.79,-0.0696,Below fair value (underpriced)
1292859461638994844,Amazing 2 Bedroom in Brooklyn,https://www.airbnb.com/rooms/1292859461638994844,Brooklyn,Prospect-Lefferts Gardens,Private room,Private room in rental unit,2,Individual,Brooklyn | Private room | small,short_stay,4,247.5,261.2,-13.7,-0.0524,Below fair value (underpriced)
1301737585869376595,Suite Life! Private 1br apt found within triplex,https://www.airbnb.com/rooms/1301737585869376595,Brooklyn,Bedford-Stuyvesant,Entire home/apt,Entire rental unit,2,Small-Multi,Brooklyn | Entire home/apt | small,short_stay,5,234.23,319.91,-85.68,-0.2678,Below fair value (underpriced)
1312549916498073457,Clean & Cozy Duplex,https://www.airbnb.com/rooms/1312549916498073457,Brooklyn,East Flatbush,Entire home/apt,Entire guest suite,2,Individual,Brooklyn | Entire home/apt | small,short_stay,5,254.0,314.7,-60.7,-0.1929,Below fair value (underpriced)
1313122595316445483,Luxury 8BR Brooklyn • Fast WiFi • Smart TVs,https://www.airbnb.com/rooms/1313122595316445483,Brooklyn,Brownsville,Entire home/apt,Entire home,16,Individual,Brooklyn | Entire home/apt | large,short_stay,2,1185.0,3602.13,-2417.13,-0.671,Below fair value (underpriced)
1308085978089541612,Cozy APT in Hell's Kitchen,https://www.airbnb.com/rooms/1308085978089541612,Manhattan,Hell's Kitchen,Entire home/apt,Entire rental unit,2,Individual,Manhattan | Entire home/apt | small,short_stay,2,862.0,650.78,211.22,0.3246,Above fair value (overpriced)
1308178606830498075,Bedroom in Private Townhouse by Yankee Stadium!,https://www.airbnb.com/rooms/1308178606830498075,Bronx,Concourse Village,Private room,Private room in home,2,Individual,Bronx | Private room | small,short_stay,3,125.53,238.37,-112.84,-0.4734,Below fair value (underpriced)
1313430859428844249,Cozy Brooklyn Getaway,https://www.airbnb.com/rooms/1313430859428844249,Brooklyn,Flatbush,Private room,Private room in rental unit,2,Small-Multi,Brooklyn | Private room | small,short_stay,4,229.0,162.65,66.35,0.4079,Above fair value (overpriced)
1313866429333234266,Beaming in Bed-Stuy,https://www.airbnb.com/rooms/1313866429333234266,Brooklyn,Bedford-Stuyvesant,Private room,Private room in home,2,Individual,Brooklyn | Private room | small,short_stay,4,257.0,211.77,45.23,0.2136,Above fair value (overpriced)
